Time (s),Channel 1 (V)
-0.05218536361674579,-2.199107843836591
-0.05217286361674579,-2.19841855900901
-0.05216036361674579,-2.19841855900901
-0.05214786361674579,-2.19841855900901
-0.05213536361674579,-2.19807391659522
-0.05212286361674579,-2.19772927418143
-0.05211036361674579,-2.19738463176764
-0.05209786361674579,-2.19738463176764
-0.05208536361674579,-2.196695346940059
-0.05207286361674579,-2.196350704526268
-0.05206036361674579,-2.196350704526268
-0.05204786361674579,-2.196006062112478
-0.05203536361674579,-2.196006062112478
-0.05202286361674579,-2.194972134871107
-0.05201036361674579,-2.194972134871107
-0.05199786361674579,-2.194627492457317
-0.05198536361674579,-2.194627492457317
-0.05197286361674579,-2.194282850043526
-0.05196036361674579,-2.193938207629736
-0.05194786361674579,-2.193938207629736
-0.05193536361674579,-2.193248922802155
-0.05192286361674579,-2.193248922802155
-0.05191036361674579,-2.192904280388365
-0.05189786361674579,-2.192559637974575
-0.05188536361674579,-2.192214995560784
-0.05187286361674579,-2.191870353146994
-0.05186036361674579,-2.191525710733203
-0.05184786361674579,-2.191525710733203
-0.05183536361674579,-2.191181068319413
-0.05182286361674579,-2.190836425905623
-0.05181036361674579,-2.190491783491832
-0.05179786361674579,-2.190491783491832
-0.05178536361674579,-2.189802498664252
-0.05177286361674579,-2.189802498664252
-0.05176036361674579,-2.189113213836671
-0.05174786361674579,-2.153615045216266
-0.05173536361674579,-1.897890374183945
-0.05172286361674579,-1.897545731770038
-0.05171036361674579,-1.897890374183829
-0.05169786361674579,-1.897201089356248
-0.05168536361674579,-1.897890374183829
-0.05167286361674579,-1.897890374183829
-0.05166036361674579,-1.897545731770038
-0.05164786361674579,-1.897545731770038
-0.05163536361674579,-1.897201089356248
-0.05162286361674579,-1.897201089356248
-0.05161036361674579,-1.896511804528668
-0.05159786361674579,-1.896856446942458
-0.05158536361674579,-1.896511804528668
-0.05157286361674579,-1.896167162114877
-0.05156036361674579,-1.896167162114877
-0.05154786361674579,-1.895477877287297
-0.05153536361674579,-1.895477877287296
-0.05152286361674579,-1.895133234873506
-0.05151036361674579,-1.894788592459716
-0.05149786361674579,-1.894788592459716
-0.05148536361674579,-1.894443950045926
-0.05147286361674579,-1.894099307632135
-0.05146036361674579,-1.893754665218345
-0.05144786361674579,-1.893754665218345
-0.05143536361674579,-1.893410022804554
-0.05142286361674579,-1.893410022804554
-0.05141036361674579,-1.893065380390764
-0.05139786361674579,-1.893065380390764
-0.05138536361674579,-1.892720737976974
-0.05137286361674579,-1.892376095563183
-0.05136036361674579,-1.892031453149393
-0.05134786361674579,-1.891686810735603
-0.05133536361674579,-1.891686810735603
-0.05132286361674579,-1.891686810735603
-0.05131036361674579,-1.891342168321812
-0.05129786361674579,-1.847572581770458
-0.05128536361674579,-1.595638977289696
-0.05127286361674579,-1.596328262117276
-0.05126036361674579,-1.595983619703486
-0.05124786361674579,-1.595983619703486
-0.05123536361674579,-1.595983619703486
-0.05122286361674579,-1.595983619703486
-0.05121036361674579,-1.595638977289696
-0.05119786361674579,-1.595294334875905
-0.05118536361674579,-1.594949692462115
-0.05117286361674579,-1.594605050048325
-0.05116036361674579,-1.594949692462115
-0.05114786361674579,-1.594605050048325
-0.05113536361674579,-1.594260407634534
-0.05112286361674579,-1.593915765220744
-0.05111036361674579,-1.593915765220744
-0.05109786361674579,-1.593571122806954
-0.05108536361674579,-1.593226480393163
-0.05107286361674579,-1.471912350738962
-0.05106036361674579,-1.297523289361047
-0.05104786361674579,-1.297523289361047
-0.05103536361674579,-1.297867931774837
-0.05102286361674579,-1.297867931774837
-0.05101036361674579,-1.297867931774837
-0.05099786361674579,-1.297523289361047
-0.05098536361674579,-1.297523289361047
-0.05097286361674579,-1.297523289361047
-0.05096036361674579,-1.297178646947256
