Tiempo;Canal A;Canal B
(ms);(V);(V)

0,00005000;4,37513351;0,58595538
0,00645000;4,45326090;0,58595538
0,01285000;4,37513351;0,58595538
0,01925000;4,45326090;0,58595538
0,02565000;4,45326090;0,58595538
0,03205000;4,37513351;0,58595538
0,03845000;4,45326090;0,58595538
0,04485000;4,45326090;0,58595538
0,05125000;4,45326090;0,58595538
0,05765000;4,45326090;0,58595538
0,06405000;4,37513351;0,58595538
0,07045000;4,45326090;0,58595538
0,07685000;4,45326090;0,58595538
0,08325000;4,45326090;0,58595538
0,08964999;4,45326090;0,58595538
0,09604999;4,45326090;0,58595538
0,10244999;4,45326090;0,58595538
0,10884999;4,45326090;0,58595538
0,11524999;4,45326090;0,58595538
0,12164999;4,45326090;0,58595538
0,12804999;4,45326090;0,58595538
0,13444999;4,45326090;0,58595538
0,14084999;4,45326090;0,58595538
0,14724999;4,45326090;0,54689169
0,15364999;4,45326090;0,58595538
0,16004999;4,45326090;0,58595538
0,16644999;4,45326090;0,58595538
0,17284999;4,45326090;0,54689169
0,17924999;4,45326090;0,58595538
0,18564999;4,45326090;0,54689169
0,19204999;4,45326090;0,54689169
0,19844999;4,45326090;0,58595538
0,20484999;4,45326090;0,54689169
0,21124999;4,45326090;0,54689169
0,21764999;4,45326090;0,54689169
0,22404999;4,45326090;0,54689169
0,23044999;4,45326090;0,54689169
0,23684999;4,45326090;0,54689169
0,24324999;4,45326090;0,54689169
0,24964999;4,45326090;0,54689169
0,25604998;4,45326090;0,54689169
0,26244998;4,45326090;0,58595538
0,26884998;4,45326090;0,58595538
0,27524998;4,45326090;0,54689169
0,28164998;4,45326090;0,54689169
0,28804998;4,45326090;0,54689169
0,29444998;4,45326090;0,58595538
0,30084998;4,45326090;0,54689169
0,30724998;4,45326090;0,54689169
0,31364998;4,45326090;0,54689169
0,32004998;4,45326090;0,54689169
0,32644998;4,45326090;0,58595538
0,33284998;4,53138828;0,54689169
0,33924998;4,45326090;0,58595538
0,34564998;4,45326090;0,54689169
0,35204998;4,45326090;0,54689169
0,35844998;4,45326090;0,58595538
0,36484998;4,53138828;0,54689169
0,37124998;4,45326090;0,54689169
0,37764998;4,45326090;0,54689169
0,38404998;4,53138828;0,54689169
0,39044998;4,45326090;0,54689169
0,39684998;4,45326090;0,54689169
0,40324998;4,53138828;0,54689169
0,40964998;4,53138828;0,54689169
0,41604998;4,45326090;0,54689169
0,42244997;4,53138828;0,54689169
0,42884997;4,53138828;0,54689169
0,43524997;4,45326090;0,54689169
0,44164997;4,45326090;0,58595538
0,44804997;4,45326090;0,54689169
0,45444997;4,53138828;0,58595538
0,46084997;4,53138828;0,54689169
0,46724997;4,53138828;0,54689169
0,47364997;4,53138828;0,54689169
0,48004997;4,53138828;0,58595538
0,48644997;4,53138828;0,54689169
0,49284997;4,53138828;0,54689169
0,49924997;4,53138828;0,58595538
0,50564997;4,53138828;0,54689169
0,51204997;4,53138828;0,58595538
0,51844997;4,53138828;0,58595538
0,52484997;4,53138828;0,54689169
0,53124997;4,45326090;0,58595538
0,53764997;4,53138828;0,58595538
0,54404997;4,53138828;0,58595538
0,55044997;4,53138828;0,58595538
0,55684997;4,53138828;0,58595538
0,56324997;4,53138828;0,58595538
0,56964997;4,53138828;0,58595538
0,57604997;4,53138828;0,58595538
0,58244997;4,53138828;0,58595538
0,58884997;4,53138828;0,58595538
0,59524996;4,53138828;0,58595538
0,60164996;4,53138828;0,58595538
0,60804996;4,53138828;0,58595538
0,61444996;4,53138828;0,58595538
0,62084996;4,53138828;0,58595538
0,62724996;4,53138828;0,58595538
0,63364996;4,53138828;0,58595538
0,64004996;4,53138828;0,58595538
0,64644996;4,53138828;0,58595538
0,65284996;4,53138828;0,58595538
0,65924996;4,53138828;0,58595538
0,66564996;4,53138828;0,58595538
0,67204996;4,53138828;0,58595538
0,67844996;4,53138828;0,58595538
0,68484996;4,53138828;0,58595538
0,69124996;4,53138828;0,58595538
0,69764996;4,53138828;0,58595538
0,70404996;4,53138828;0,58595538
0,71044996;4,53138828;0,58595538
0,71684996;4,53138828;0,58595538
0,72324996;4,53138828;0,58595538
0,72964996;4,53138828;0,58595538
0,73604996;4,53138828;0,58595538
0,74244996;4,53138828;0,58595538
0,74884996;4,53138828;0,62501907
0,75524996;4,53138828;0,58595538
0,76164995;4,53138828;0,62501907
0,76804995;4,53138828;0,62501907
0,77444995;4,53138828;0,62501907
0,78084995;4,53138828;0,62501907
0,78724995;4,53138828;0,62501907
0,79364995;4,53138828;0,58595538
0,80004995;4,53138828;0,62501907
